person_id,time_in_seconds,start_floor,dest_floor,weight
1,31520.846784586633,1,3,93.84930521474159
3,32597.913809355367,1,4,100.57671613955368
5,32716.76596107154,1,2,81.8547679912256
4,34554.65252011192,1,4,68.3103170400652
3,35214.2315381351,4,2,100.57671613955368
2,36921.901729016165,1,3,61.62130366895211
2,40392.65136628299,3,2,61.62130366895211
2,45643.44041496757,2,1,61.62130366895211
5,45888.08033313015,2,1,81.8547679912256
4,45911.6411510453,4,3,68.3103170400652
3,47403.71710005852,2,1,100.57671613955368
5,47598.050392672274,1,2,81.8547679912256
2,47856.647918230556,1,3,61.62130366895211
3,48907.621992704524,1,4,100.57671613955368
1,49831.98125680658,3,1,93.84930521474159
4,50162.1359095474,3,1,68.3103170400652
1,51425.296641330475,1,3,93.84930521474159
4,52063.41156647316,1,4,68.3103170400652
4,53125.71395222737,4,2,68.3103170400652
4,60929.17543746629,2,1,68.3103170400652
1,61102.549174117834,3,1,93.84930521474159
2,61586.284449688465,3,1,61.62130366895211
5,63129.11077881875,2,1,81.8547679912256
3,63175.65280625206,4,1,100.57671613955368
